"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"1",0.0595785408541792,-0.0830280212375299,0.00843090109083659,4.25604916904163e-05,-0.00324808314393411,0.111909345715934,0.0417624578215187,0.0416656415747856,0.0336709394600705,-0.0948529499337201
"2",0.0577991414974527,-0.072701973305323,0.00329398949632737,-0.00703333306579864,0.0143773410630382,0.0575347499801087,0.10280246384228,0.0360070280779381,-0.0225635564798254,-0.119139249738451
"3",0.0798096347598673,-0.0994623369987649,0.00591806867551431,0.0468743546322667,0.0462773406189621,-0.012519799942535,-0.104620745287211,-0.0633688750128611,-0.0776353897702094,0.0124879784570459
"4",0.0897333867209059,-0.103981960939764,0.00763062873791404,0.0513067621093889,-0.0155379043553052,0.0683561381191639,-0.0872564696797283,-0.0532307110064498,-0.0404747125542977,0.0767159528223755
"5",0.0985540995516838,-0.108727470410913,0.0109553758483313,0.0451879899390511,-0.0521347349041113,0.103407436764122,0.00132994319022484,-0.00881687069235524,0.00144782684868919,0.129667493752132
"6",0.102652234697627,-0.108132228186973,0.014843087449395,0.0333008732474992,-0.0433336286960186,0.0650633875269771,0.0928633475625496,0.0328520592710341,0.0369594447814564,0.15390223359446
"7",0.105388732409876,-0.0913968664508827,0.0175250979552575,0.0180231589578177,-0.0071142370009631,-0.0177349155966068,0.117164244026499,0.0243457221723431,0.0545176583200843,0.134604328491899
"8",0.108452099837681,-0.0936424800739357,0.0182314213664032,0.0193142337594188,0.0264003727956997,-0.0887927542247275,0.0692461619868704,0.00997100677998788,0.0578969514259339,0.0834826906907133
"9",0.11004535274879,-0.0969079952314537,0.0155241750211756,0.0253113786722634,0.0236756450323953,-0.103000295707861,-0.0201938426909739,-0.0194866634114106,0.0515629020939899,0.0106145162123217
"10",0.121488115291335,-0.0824860476522742,0.00857505572312561,0.010859962243429,-0.0710398489691466,0.0156979544136174,-0.0892108383969858,-0.0559166286530351,0.0294895881249207,-0.122305068408622
